student_id,week_no,risk_avg,actions_done,actions_missed,distraction_count,top_distractor_category
stu_0018,1,0.607,0,2,0,
stu_0018,2,0.588,0,2,0,
stu_0018,3,0.597,0,2,0,
stu_0018,4,0.605,0,2,0,
stu_0019,1,0.543,1,1,3,social
stu_0019,2,0.56,0,2,3,game
stu_0019,3,0.547,0,2,4,video
stu_0019,4,0.542,0,2,1,game
stu_0020,1,0.661,0,2,2,social
stu_0020,2,0.659,1,1,5,social
stu_0020,3,0.676,2,0,2,video
stu_0020,4,0.66,1,1,1,social
stu_0021,1,0.488,1,1,0,
stu_0021,2,0.521,0,2,0,
stu_0021,3,0.513,1,1,0,
stu_0021,4,0.533,1,1,0,
stu_0022,1,0.559,0,2,5,game
stu_0022,2,0.531,1,1,5,social
stu_0022,3,0.553,0,2,2,game
stu_0022,4,0.545,1,1,1,game
stu_0023,1,0.766,0,2,3,game
stu_0023,2,0.765,0,2,1,game
stu_0023,3,0.798,0,2,4,video
stu_0023,4,0.797,1,1,3,social
stu_0024,1,0.689,0,1,0,
stu_0024,2,0.697,0,1,0,
stu_0024,3,0.709,0,1,0,
stu_0024,4,0.748,0,1,0,
stu_0025,1,0.516,2,0,0,
stu_0025,2,0.53,1,1,0,
stu_0025,3,0.53,1,1,0,
stu_0025,4,0.537,1,1,0,
stu_0026,1,0.76,0,1,0,
stu_0026,2,0.749,0,1,0,
stu_0026,3,0.778,0,1,0,
stu_0026,4,0.795,0,1,0,
stu_0027,1,0.749,0,1,0,
stu_0027,2,0.75,0,1,0,
stu_0027,3,0.78,0,1,0,
stu_0027,4,0.799,0,1,0,
stu_0028,1,0.579,2,0,0,
stu_0028,2,0.602,0,2,0,
stu_0028,3,0.574,1,1,0,
stu_0028,4,0.596,0,2,0,
stu_0029,1,0.766,0,2,2,video
stu_0029,2,0.743,1,1,2,game
stu_0029,3,0.742,1,1,3,video
stu_0029,4,0.731,0,2,3,video
stu_0030,1,0.681,0,1,0,
stu_0030,2,0.715,0,1,0,
stu_0030,3,0.673,0,1,0,
stu_0030,4,0.681,0,1,0,
stu_0031,1,0.626,1,1,0,
stu_0031,2,0.664,1,1,0,
stu_0031,3,0.616,1,1,0,
stu_0031,4,0.669,0,2,0,
stu_0032,1,0.51,0,2,0,
stu_0032,2,0.488,0,2,0,
stu_0032,3,0.5,1,1,0,
stu_0032,4,0.502,0,2,0,
stu_0033,1,0.591,0,2,0,
stu_0033,2,0.571,1,1,0,
stu_0033,3,0.6,1,1,0,
stu_0033,4,0.586,0,2,0,
stu_0034,1,0.708,0,1,0,
stu_0034,2,0.744,0,1,0,
stu_0034,3,0.747,0,1,0,
stu_0034,4,0.689,0,1,0,
stu_0035,1,0.652,0,1,0,
stu_0035,2,0.697,0,1,0,
stu_0035,3,0.705,0,1,0,
stu_0035,4,0.685,0,1,0,
stu_0036,1,0.694,0,1,0,
stu_0036,2,0.688,0,1,0,
stu_0036,3,0.732,0,1,0,
stu_0036,4,0.711,0,1,0,
stu_0037,1,0.593,0,1,0,
stu_0037,2,0.583,0,1,0,
stu_0037,3,0.565,0,1,0,
stu_0037,4,0.518,0,1,0,
stu_0038,1,0.649,0,2,0,
stu_0038,2,0.66,0,2,0,
stu_0038,3,0.642,0,2,0,
stu_0038,4,0.682,0,2,0,
stu_0039,1,0.59,0,2,0,
stu_0039,2,0.574,0,2,0,
stu_0039,3,0.607,0,2,0,
stu_0039,4,0.563,0,2,0,
stu_0040,1,0.578,1,1,0,
stu_0040,2,0.565,1,1,0,
stu_0040,3,0.562,1,1,0,
stu_0040,4,0.543,0,2,0,
stu_0041,1,0.451,0,2,0,
stu_0041,2,0.484,0,2,0,
stu_0041,3,0.429,0,2,0,
stu_0041,4,0.469,0,2,0,
stu_0042,1,0.659,1,1,4,social
stu_0042,2,0.691,2,0,3,social
stu_0042,3,0.713,1,1,1,social
stu_0042,4,0.65,1,1,2,social
stu_0043,1,0.845,0,2,3,social
stu_0043,2,0.903,0,2,2,social
stu_0043,3,0.872,1,1,1,social
stu_0043,4,0.876,1,1,1,video
stu_0044,1,0.682,1,1,4,social
stu_0044,2,0.701,2,0,1,social
stu_0044,3,0.673,0,2,2,video
stu_0044,4,0.675,0,2,2,social
stu_0045,1,0.581,0,2,0,
stu_0045,2,0.586,0,2,0,
stu_0045,3,0.562,0,2,0,
stu_0045,4,0.594,1,1,0,
stu_0046,1,0.688,0,1,0,
stu_0046,2,0.695,0,1,0,
stu_0046,3,0.693,0,1,0,
stu_0046,4,0.707,0,1,0,
stu_0047,1,0.805,0,1,0,
stu_0047,2,0.767,0,1,0,
stu_0047,3,0.799,0,1,0,
stu_0047,4,0.762,0,1,0,
stu_0048,1,0.528,0,2,0,
stu_0048,2,0.505,0,2,0,
stu_0048,3,0.511,0,2,0,
stu_0048,4,0.503,0,2,0,
stu_0049,1,0.646,0,2,2,social
stu_0049,2,0.626,1,1,5,game
stu_0049,3,0.626,0,2,1,video
stu_0049,4,0.626,0,2,4,game
stu_0050,1,0.553,1,1,0,
stu_0050,2,0.529,1,1,0,
stu_0050,3,0.536,1,1,0,
stu_0050,4,0.521,2,0,0,
stu_0051,1,0.372,0,2,0,
stu_0051,2,0.397,0,2,0,
stu_0051,3,0.345,1,1,0,
stu_0051,4,0.36,0,2,0,
stu_0052,1,0.636,2,0,0,
stu_0052,2,0.589,1,1,0,
stu_0052,3,0.599,1,1,0,
stu_0052,4,0.595,1,1,0,
stu_0053,1,0.629,0,2,0,
stu_0053,2,0.64,0,2,0,
stu_0053,3,0.613,0,2,0,
stu_0053,4,0.631,0,2,0,
stu_0054,1,0.507,1,1,0,
stu_0054,2,0.533,1,1,0,
stu_0054,3,0.534,1,1,0,
stu_0054,4,0.506,0,2,0,
stu_0055,1,0.472,0,2,0,
stu_0055,2,0.485,0,2,0,
stu_0055,3,0.491,0,2,0,
stu_0055,4,0.491,0,2,0,
stu_0056,1,0.503,0,2,0,
stu_0056,2,0.49,1,1,0,
stu_0056,3,0.498,1,1,0,
stu_0056,4,0.492,0,2,0,
stu_0057,1,0.865,0,1,0,
stu_0057,2,0.874,0,1,0,
stu_0057,3,0.841,0,1,0,
stu_0057,4,0.845,0,1,0,
stu_0058,1,0.563,1,1,3,social
stu_0058,2,0.556,1,1,2,video
stu_0058,3,0.569,1,1,4,social
stu_0058,4,0.536,1,1,2,social
stu_0059,1,0.618,0,2,0,
stu_0059,2,0.596,0,2,0,
stu_0059,3,0.629,0,2,0,
stu_0059,4,0.601,0,2,0,
stu_0060,1,0.604,0,2,0,
stu_0060,2,0.612,0,2,0,
stu_0060,3,0.623,0,2,0,
stu_0060,4,0.579,0,2,0,
stu_0061,1,0.513,0,2,0,
stu_0061,2,0.451,1,1,0,
stu_0061,3,0.459,1,1,0,
stu_0061,4,0.44,2,0,0,
stu_0062,1,0.719,0,1,0,
stu_0062,2,0.718,0,1,0,
stu_0062,3,0.694,0,1,0,
stu_0062,4,0.71,0,1,0,
stu_0063,1,0.734,0,1,0,
stu_0063,2,0.735,0,1,0,
stu_0063,3,0.778,0,1,0,
stu_0063,4,0.766,0,1,0,
stu_0064,1,0.628,1,1,0,
stu_0064,2,0.593,1,1,0,
stu_0064,3,0.608,2,0,0,
stu_0064,4,0.611,0,2,0,
stu_0065,1,0.775,0,1,0,
stu_0065,2,0.837,0,1,0,
stu_0065,3,0.799,0,1,0,
stu_0065,4,0.826,0,1,0,
stu_0066,1,0.725,0,1,0,
stu_0066,2,0.735,0,1,0,
stu_0066,3,0.771,0,1,0,
stu_0066,4,0.747,0,1,0,
stu_0067,1,0.62,1,1,3,social
stu_0067,2,0.585,0,2,2,social
stu_0067,3,0.554,1,1,4,social
stu_0067,4,0.618,0,2,4,social
stu_0068,1,0.5,0,2,0,
stu_0068,2,0.483,0,2,0,
stu_0068,3,0.49,1,1,0,
stu_0068,4,0.483,1,1,0,
stu_0069,1,0.805,0,1,0,
stu_0069,2,0.788,0,1,0,
stu_0069,3,0.761,0,1,0,
stu_0069,4,0.816,0,1,0,
stu_0070,1,0.613,0,1,0,
stu_0070,2,0.686,0,1,0,
stu_0070,3,0.659,0,1,0,
stu_0070,4,0.678,0,1,0,
stu_0071,1,0.534,0,2,1,game
stu_0071,2,0.566,0,2,3,video
stu_0071,3,0.535,1,1,3,game
stu_0071,4,0.541,1,1,5,social
stu_0072,1,0.763,1,1,2,game
stu_0072,2,0.774,0,2,2,video
stu_0072,3,0.772,1,1,5,game
stu_0072,4,0.762,1,1,3,video
stu_0073,1,0.49,0,2,0,
stu_0073,2,0.535,0,2,0,
stu_0073,3,0.511,0,2,0,
stu_0073,4,0.539,0,2,0,
stu_0074,1,0.558,1,1,0,
stu_0074,2,0.56,1,1,0,
stu_0074,3,0.556,1,1,0,
stu_0074,4,0.536,1,1,0,
stu_0075,1,0.646,0,2,2,video
stu_0075,2,0.645,0,2,3,video
stu_0075,3,0.627,0,2,4,social
stu_0075,4,0.632,1,1,2,game
stu_0076,1,0.502,0,2,2,social
stu_0076,2,0.502,0,2,1,social
stu_0076,3,0.526,1,1,1,video
stu_0076,4,0.478,0,2,1,video
stu_0077,1,0.681,0,1,0,
stu_0077,2,0.65,0,1,0,
stu_0077,3,0.678,0,1,0,
stu_0077,4,0.644,0,1,0,
stu_0078,1,0.773,0,1,0,
stu_0078,2,0.725,0,1,0,
stu_0078,3,0.786,0,1,0,
stu_0078,4,0.753,0,1,0,
stu_0079,1,0.64,0,2,4,game
stu_0079,2,0.689,0,2,1,game
stu_0079,3,0.657,2,0,3,game
stu_0079,4,0.623,1,1,3,other
stu_0080,1,0.532,1,1,3,game
stu_0080,2,0.545,0,2,0,
stu_0080,3,0.514,2,0,4,video
stu_0080,4,0.546,0,2,2,other
stu_0081,1,0.617,0,2,0,
stu_0081,2,0.617,0,2,0,
stu_0081,3,0.625,0,2,0,
stu_0081,4,0.604,0,2,0,
stu_0082,1,0.603,0,1,0,
stu_0082,2,0.565,0,1,0,
stu_0082,3,0.594,0,1,0,
stu_0082,4,0.582,0,1,0,
stu_0083,1,0.477,0,2,0,
stu_0083,2,0.524,0,2,0,
stu_0083,3,0.5,0,2,0,
stu_0083,4,0.52,0,2,0,
stu_0084,1,0.596,0,2,0,
stu_0084,2,0.579,1,1,0,
stu_0084,3,0.607,0,2,0,
stu_0084,4,0.594,0,2,0,
stu_0085,1,0.603,0,2,5,game
stu_0085,2,0.617,0,2,2,social
stu_0085,3,0.637,2,0,2,game
stu_0085,4,0.611,2,0,3,video
stu_0086,1,0.541,0,2,2,social
stu_0086,2,0.575,0,2,4,video
stu_0086,3,0.527,0,2,2,game
stu_0086,4,0.578,1,1,4,video
stu_0087,1,0.71,0,1,0,
stu_0087,2,0.638,0,1,0,
stu_0087,3,0.631,0,1,0,
stu_0087,4,0.66,0,1,0,
stu_0088,1,0.559,0,2,0,
stu_0088,2,0.628,0,2,0,
stu_0088,3,0.582,0,2,0,
stu_0088,4,0.576,0,2,0,
stu_0089,1,0.707,0,1,0,
stu_0089,2,0.718,0,1,0,
stu_0089,3,0.709,0,1,0,
stu_0089,4,0.687,0,1,0,
stu_0090,1,0.503,0,2,2,social
stu_0090,2,0.521,0,2,2,social
stu_0090,3,0.511,1,1,2,game
stu_0090,4,0.479,1,1,2,game
stu_0091,1,0.864,1,1,2,video
stu_0091,2,0.885,1,1,1,social
stu_0091,3,0.869,0,2,3,game
stu_0091,4,0.859,1,1,4,social
stu_0092,1,0.606,1,1,0,
stu_0092,2,0.604,2,0,0,
stu_0092,3,0.591,0,2,0,
stu_0092,4,0.609,0,2,0,
stu_0093,1,0.62,0,2,3,video
stu_0093,2,0.59,0,2,3,video
stu_0093,3,0.661,1,1,3,social
stu_0093,4,0.611,1,1,3,social
stu_0094,1,0.408,1,1,0,
stu_0094,2,0.381,1,1,0,
stu_0094,3,0.391,0,2,0,
stu_0094,4,0.393,1,1,0,
stu_0095,1,0.592,0,2,0,
stu_0095,2,0.598,0,2,0,
stu_0095,3,0.591,0,2,0,
stu_0095,4,0.631,1,1,0,
stu_0096,1,0.717,0,1,0,
stu_0096,2,0.794,0,1,0,
stu_0096,3,0.742,0,1,0,
stu_0096,4,0.696,0,1,0,
stu_0097,1,0.551,1,1,2,social
stu_0097,2,0.533,0,2,3,social
stu_0097,3,0.52,1,1,1,game
stu_0097,4,0.531,1,1,2,social
stu_0098,1,0.876,2,0,3,social
stu_0098,2,0.89,0,2,1,video
stu_0098,3,0.877,0,2,3,video
stu_0098,4,0.85,0,2,0,
stu_0099,1,0.502,1,1,0,
stu_0099,2,0.489,0,2,0,
stu_0099,3,0.5,1,1,0,
stu_0099,4,0.523,0,2,0,
stu_0100,1,0.705,2,0,0,
stu_0100,2,0.694,2,0,0,
stu_0100,3,0.693,0,2,0,
stu_0100,4,0.711,0,2,0,
