session_id,student_id,subject,planned_min,completed_min,start_hour,abandoned,week_no
ses_00041,stu_0006,kimya,30,20,14,true,1
ses_00042,stu_0006,kimya,45,29,9,true,2
ses_00043,stu_0006,kimya,45,38,22,true,3
ses_00044,stu_0006,tarih,30,11,22,true,4
ses_00045,stu_0006,kimya,45,38,16,true,1
ses_00046,stu_0006,fen,50,31,13,true,2
ses_00047,stu_0006,matematik,45,32,14,true,3
ses_00048,stu_0006,kimya,25,12,17,true,4
ses_00049,stu_0007,turkce,40,30,8,true,1
ses_00050,stu_0007,fizik,25,24,16,false,2
ses_00051,stu_0007,fizik,50,48,9,false,3
ses_00052,stu_0007,fen,50,30,9,true,4
ses_00053,stu_0007,ingilizce,25,22,20,false,1
ses_00054,stu_0007,matematik,40,24,16,true,2
ses_00055,stu_0007,ingilizce,40,33,18,true,3
ses_00056,stu_0007,fen,45,31,22,true,4
ses_00057,stu_0008,tarih,50,36,19,true,1
ses_00058,stu_0008,fizik,30,20,10,true,2
ses_00059,stu_0008,matematik,50,35,8,true,3
ses_00060,stu_0008,tarih,25,19,9,true,4
ses_00061,stu_0008,ingilizce,50,37,11,true,1
ses_00062,stu_0008,matematik,30,25,20,true,2
ses_00063,stu_0008,turkce,45,35,8,true,3
ses_00064,stu_0008,fen,50,43,20,false,4
ses_00065,stu_0009,matematik,40,33,20,true,1
ses_00066,stu_0009,turkce,45,38,17,true,2
ses_00067,stu_0009,matematik,30,21,21,true,3
ses_00068,stu_0009,fen,45,42,9,false,4
ses_00069,stu_0009,turkce,40,33,16,true,1
ses_00070,stu_0009,matematik,50,45,18,false,2
ses_00071,stu_0009,turkce,40,32,15,true,3
ses_00072,stu_0009,matematik,45,33,12,true,4
ses_00073,stu_0010,tarih,30,24,8,true,1
ses_00074,stu_0010,matematik,30,22,19,true,2
ses_00075,stu_0010,fen,45,38,17,true,3
ses_00076,stu_0010,turkce,40,39,18,false,4
ses_00077,stu_0010,matematik,25,17,13,true,1
ses_00078,stu_0010,kimya,30,20,10,true,2
ses_00079,stu_0010,tarih,25,23,12,false,3
ses_00080,stu_0010,fen,40,27,15,true,4
ses_00081,stu_0011,fen,45,9,19,true,1
ses_00082,stu_0011,fen,30,7,21,true,2
ses_00083,stu_0011,kimya,25,8,13,true,3
ses_00084,stu_0011,turkce,45,24,21,true,4
ses_00085,stu_0011,fen,25,8,16,true,1
ses_00086,stu_0011,ingilizce,40,7,14,true,2
ses_00087,stu_0011,fen,50,11,22,true,3
ses_00088,stu_0011,fizik,45,8,12,true,4
ses_00089,stu_0012,fizik,25,18,13,true,1
ses_00090,stu_0012,fizik,25,15,17,true,2
ses_00091,stu_0012,ingilizce,50,34,11,true,3
ses_00092,stu_0012,turkce,40,36,16,false,4
ses_00093,stu_0012,turkce,40,24,17,true,1
ses_00094,stu_0012,tarih,40,32,15,true,2
ses_00095,stu_0012,tarih,25,19,18,true,3
ses_00096,stu_0012,matematik,40,33,10,true,4
ses_00097,stu_0013,ingilizce,50,49,8,false,1
ses_00098,stu_0013,turkce,45,31,10,true,2
ses_00099,stu_0013,fizik,25,21,16,true,3
ses_00100,stu_0013,matematik,25,15,10,true,4
ses_00101,stu_0013,ingilizce,25,16,9,true,1
ses_00102,stu_0013,tarih,45,34,17,true,2
ses_00103,stu_0013,matematik,30,21,8,true,3
ses_00104,stu_0013,tarih,45,30,19,true,4
ses_00105,stu_0014,matematik,25,20,16,true,1
ses_00106,stu_0014,turkce,50,33,10,true,2
ses_00107,stu_0014,tarih,50,45,20,false,3
ses_00108,stu_0014,kimya,50,31,12,true,4
ses_00109,stu_0014,kimya,50,41,9,true,1
ses_00110,stu_0014,ingilizce,25,19,10,true,2
ses_00111,stu_0014,ingilizce,40,29,10,true,3
ses_00112,stu_0014,matematik,45,32,16,true,4
ses_00113,stu_0015,kimya,25,20,20,true,1
ses_00114,stu_0015,kimya,30,26,17,false,2
ses_00115,stu_0015,tarih,50,34,11,true,3
ses_00116,stu_0015,ingilizce,45,44,16,false,4
ses_00117,stu_0015,fen,30,21,9,true,1
ses_00118,stu_0015,turkce,45,42,21,false,2
ses_00119,stu_0015,kimya,40,36,19,false,3
ses_00120,stu_0015,matematik,40,27,8,true,4
ses_00121,stu_0016,matematik,45,27,14,true,1
ses_00122,stu_0016,matematik,50,44,20,false,2
ses_00123,stu_0016,turkce,45,44,21,false,3
ses_00124,stu_0016,tarih,40,27,8,true,4
ses_00125,stu_0016,ingilizce,40,24,15,true,1
ses_00126,stu_0016,tarih,45,40,22,false,2
ses_00127,stu_0016,matematik,45,28,19,true,3
ses_00128,stu_0016,fizik,40,31,12,true,4
ses_00129,stu_0017,fen,45,20,13,true,1
ses_00130,stu_0017,fen,25,4,11,true,2
ses_00131,stu_0017,fen,45,10,19,true,3
ses_00132,stu_0017,tarih,25,5,11,true,4
ses_00133,stu_0017,kimya,40,16,18,true,1
ses_00134,stu_0017,kimya,30,14,10,true,2
ses_00135,stu_0017,turkce,45,7,20,true,3
ses_00136,stu_0017,turkce,25,4,17,true,4
ses_00137,stu_0018,fen,25,17,21,true,1
ses_00138,stu_0018,turkce,40,33,18,true,2
ses_00139,stu_0018,ingilizce,30,20,17,true,3
ses_00140,stu_0018,fen,50,0,21,true,4
ses_00141,stu_0018,fizik,50,38,11,true,1
ses_00142,stu_0018,fizik,45,31,12,true,2
ses_00143,stu_0018,matematik,45,34,10,true,3
ses_00144,stu_0018,fizik,40,10,13,true,4
ses_00145,stu_0019,tarih,45,44,16,false,1
ses_00146,stu_0019,kimya,45,29,9,true,2
ses_00147,stu_0019,matematik,50,39,14,true,3
ses_00148,stu_0019,turkce,50,38,17,true,4
ses_00149,stu_0019,ingilizce,30,25,15,true,1
ses_00150,stu_0019,ingilizce,50,35,15,true,2
ses_00151,stu_0019,kimya,25,20,19,true,3
ses_00152,stu_0019,kimya,45,29,21,true,4
ses_00153,stu_0020,kimya,40,33,19,true,1
ses_00154,stu_0020,kimya,30,26,12,false,2
ses_00155,stu_0020,ingilizce,45,41,14,false,3
ses_00156,stu_0020,matematik,45,38,13,true,4
ses_00157,stu_0020,fizik,30,19,12,true,1
ses_00158,stu_0020,turkce,30,18,18,true,2
ses_00159,stu_0020,tarih,30,27,15,false,3
ses_00160,stu_0020,kimya,25,24,22,false,4
ses_00161,stu_0021,kimya,50,43,23,false,1
ses_00162,stu_0021,fizik,45,36,0,true,2
ses_00163,stu_0021,turkce,45,32,22,true,3
ses_00164,stu_0021,fen,40,33,23,true,4
ses_00165,stu_0021,matematik,25,19,14,true,1
ses_00166,stu_0021,fizik,25,21,23,true,2
ses_00167,stu_0021,tarih,45,40,22,false,3
ses_00168,stu_0021,kimya,30,27,1,false,4
ses_00169,stu_0022,tarih,50,38,10,true,1
ses_00170,stu_0022,matematik,25,24,16,false,2
ses_00171,stu_0022,tarih,45,35,13,true,3
ses_00172,stu_0022,fen,30,29,9,false,4
ses_00173,stu_0022,kimya,40,31,8,true,1
ses_00174,stu_0022,fizik,25,15,20,true,2
ses_00175,stu_0022,matematik,25,19,11,true,3
ses_00176,stu_0022,fen,50,36,11,true,4
ses_00177,stu_0023,ingilizce,45,37,14,true,1
ses_00178,stu_0023,tarih,40,25,21,true,2
ses_00179,stu_0023,ingilizce,25,16,8,true,3
ses_00180,stu_0023,kimya,30,26,15,false,4
ses_00181,stu_0023,ingilizce,45,35,22,true,1
ses_00182,stu_0023,ingilizce,45,32,17,true,2
ses_00183,stu_0023,fizik,40,28,18,true,3
ses_00184,stu_0023,fizik,50,30,8,true,4
ses_00185,stu_0024,tarih,30,3,18,true,1
ses_00186,stu_0024,matematik,25,0,19,true,2
ses_00187,stu_0024,matematik,25,1,19,true,3
ses_00188,stu_0024,kimya,50,1,14,true,4
ses_00189,stu_0025,ingilizce,45,40,23,false,1
ses_00190,stu_0025,fizik,50,44,21,false,2
ses_00191,stu_0025,fen,50,49,1,false,3
ses_00192,stu_0025,matematik,40,36,14,false,4
ses_00193,stu_0025,tarih,50,43,22,false,1
ses_00194,stu_0025,kimya,25,15,22,true,2
ses_00195,stu_0025,fizik,45,32,22,true,3
ses_00196,stu_0025,kimya,25,16,23,true,4
ses_00197,stu_0026,tarih,40,0,10,true,1
ses_00198,stu_0026,ingilizce,30,0,18,true,2
ses_00199,stu_0026,ingilizce,40,0,15,true,3
ses_00200,stu_0026,fizik,30,0,18,true,4
ses_00201,stu_0027,fizik,30,0,16,true,1
ses_00202,stu_0027,kimya,45,0,15,true,2
ses_00203,stu_0027,kimya,25,0,15,true,3
ses_00204,stu_0027,ingilizce,45,0,17,true,4
ses_00205,stu_0028,tarih,50,43,15,false,1
ses_00206,stu_0028,tarih,40,30,9,true,2
ses_00207,stu_0028,fen,30,24,15,true,3
ses_00208,stu_0028,fen,40,0,9,true,4
ses_00209,stu_0028,fizik,30,29,20,false,1
ses_00210,stu_0028,ingilizce,45,31,14,true,2
ses_00211,stu_0028,tarih,50,47,8,false,3
ses_00212,stu_0028,turkce,25,12,12,true,4
ses_00213,stu_0029,tarih,30,24,17,true,1
ses_00214,stu_0029,turkce,40,37,10,false,2
ses_00215,stu_0029,tarih,45,35,14,true,3
ses_00216,stu_0029,turkce,40,26,16,true,4
ses_00217,stu_0029,matematik,45,36,20,true,1
ses_00218,stu_0029,fen,25,19,21,true,2
ses_00219,stu_0029,turkce,50,43,11,false,3
ses_00220,stu_0029,turkce,40,28,13,true,4
ses_00221,stu_0030,kimya,25,7,20,true,1
ses_00222,stu_0030,kimya,50,0,10,true,2
ses_00223,stu_0030,tarih,40,5,13,true,3
ses_00224,stu_0030,fen,25,0,19,true,4
ses_00225,stu_0031,tarih,25,22,14,false,1
ses_00226,stu_0031,ingilizce,45,27,14,true,2
ses_00227,stu_0031,kimya,30,23,0,true,3
ses_00228,stu_0031,fen,40,26,23,true,4
ses_00229,stu_0031,turkce,30,18,14,true,1
ses_00230,stu_0031,turkce,40,35,0,false,2
ses_00231,stu_0031,tarih,25,23,22,false,3
ses_00232,stu_0031,tarih,30,20,23,true,4
ses_00233,stu_0032,turkce,50,38,0,true,1
ses_00234,stu_0032,matematik,50,31,21,true,2
ses_00235,stu_0032,tarih,40,34,1,false,3
ses_00236,stu_0032,fizik,50,42,1,true,4
ses_00237,stu_0032,kimya,50,36,22,true,1
ses_00238,stu_0032,fizik,25,18,14,true,2
ses_00239,stu_0032,turkce,30,19,21,true,3
ses_00240,stu_0032,fizik,30,19,14,true,4
ses_00241,stu_0033,ingilizce,25,17,14,true,1
ses_00242,stu_0033,matematik,40,30,0,true,2
ses_00243,stu_0033,kimya,50,46,21,false,3
ses_00244,stu_0033,turkce,30,22,23,true,4
ses_00245,stu_0033,matematik,25,16,1,true,1
ses_00246,stu_0033,tarih,45,42,21,false,2
ses_00247,stu_0033,matematik,30,21,23,true,3
ses_00248,stu_0033,turkce,40,33,0,true,4
ses_00249,stu_0034,kimya,45,5,17,true,1
ses_00250,stu_0034,ingilizce,50,0,10,true,2
ses_00251,stu_0034,fizik,30,0,11,true,3
ses_00252,stu_0034,tarih,40,0,20,true,4
ses_00253,stu_0035,fen,50,0,15,true,1
ses_00254,stu_0035,turkce,45,8,9,true,2
ses_00255,stu_0035,kimya,25,0,11,true,3
ses_00256,stu_0035,turkce,45,0,12,true,4
ses_00257,stu_0036,fen,45,0,13,true,1
ses_00258,stu_0036,fizik,45,0,13,true,2
ses_00259,stu_0036,tarih,50,0,12,true,3
ses_00260,stu_0036,matematik,40,0,15,true,4
ses_00261,stu_0037,turkce,45,0,18,true,1
ses_00262,stu_0037,turkce,50,0,12,true,2
ses_00263,stu_0037,fizik,50,0,14,true,3
ses_00264,stu_0037,ingilizce,30,0,13,true,4
ses_00265,stu_0038,tarih,45,18,20,true,1
ses_00266,stu_0038,fizik,50,23,22,true,2
ses_00267,stu_0038,turkce,40,17,14,true,3
ses_00268,stu_0038,ingilizce,50,8,14,true,4
ses_00269,stu_0038,ingilizce,50,9,11,true,1
ses_00270,stu_0038,fen,25,11,10,true,2
ses_00271,stu_0038,fen,25,6,15,true,3
ses_00272,stu_0038,fizik,25,7,8,true,4
ses_00273,stu_0039,ingilizce,40,33,21,true,1
ses_00274,stu_0039,turkce,45,29,1,true,2
ses_00275,stu_0039,ingilizce,50,35,14,true,3
ses_00276,stu_0039,ingilizce,30,18,0,true,4
ses_00277,stu_0039,ingilizce,30,19,0,true,1
ses_00278,stu_0039,matematik,25,18,0,true,2
ses_00279,stu_0039,fizik,45,30,1,true,3
ses_00280,stu_0039,tarih,40,27,0,true,4
ses_00281,stu_0040,ingilizce,25,24,10,false,1
ses_00282,stu_0040,turkce,30,19,11,true,2
ses_00283,stu_0040,tarih,30,28,11,false,3
ses_00284,stu_0040,kimya,25,0,9,true,4
ses_00285,stu_0040,kimya,50,41,8,true,1
ses_00286,stu_0040,ingilizce,25,24,17,false,2
ses_00287,stu_0040,fen,45,31,22,true,3
ses_00288,stu_0040,tarih,30,0,8,true,4
ses_00289,stu_0041,fen,45,17,19,true,1
ses_00290,stu_0041,kimya,40,19,16,true,2
ses_00291,stu_0041,tarih,50,25,10,true,3
ses_00292,stu_0041,matematik,25,8,11,true,4
ses_00293,stu_0041,fen,45,15,13,true,1
ses_00294,stu_0041,tarih,45,9,17,true,2
ses_00295,stu_0041,fen,30,14,13,true,3
ses_00296,stu_0041,matematik,25,7,12,true,4
ses_00297,stu_0042,kimya,45,37,17,true,1
ses_00298,stu_0042,kimya,40,34,12,false,2
ses_00299,stu_0042,fizik,25,21,10,true,3
ses_00300,stu_0042,fizik,45,43,16,false,4
ses_00301,stu_0042,ingilizce,30,29,20,false,1
ses_00302,stu_0042,matematik,25,23,15,false,2
ses_00303,stu_0042,fen,50,47,14,false,3
ses_00304,stu_0042,tarih,30,21,13,true,4
ses_00305,stu_0043,tarih,50,36,16,true,1
ses_00306,stu_0043,ingilizce,40,30,16,true,2
ses_00307,stu_0043,turkce,45,27,10,true,3
ses_00308,stu_0043,turkce,40,35,9,false,4
ses_00309,stu_0043,fizik,25,15,9,true,1
ses_00310,stu_0043,matematik,45,38,12,true,2
ses_00311,stu_0043,matematik,25,22,12,false,3
ses_00312,stu_0043,fizik,45,32,22,true,4
ses_00313,stu_0044,ingilizce,25,18,12,true,1
ses_00314,stu_0044,tarih,45,41,19,false,2
ses_00315,stu_0044,kimya,25,19,10,true,3
ses_00316,stu_0044,turkce,45,29,15,true,4
ses_00317,stu_0044,kimya,50,45,18,false,1
ses_00318,stu_0044,turkce,40,34,15,false,2
ses_00319,stu_0044,ingilizce,25,21,8,true,3
ses_00320,stu_0044,matematik,30,24,16,true,4
ses_00321,stu_0045,fen,50,41,1,true,1
ses_00322,stu_0045,kimya,30,18,14,true,2
ses_00323,stu_0045,kimya,50,40,23,true,3
ses_00324,stu_0045,kimya,45,28,14,true,4
ses_00325,stu_0045,kimya,40,25,22,true,1
ses_00326,stu_0045,kimya,50,32,14,true,2
ses_00327,stu_0045,turkce,25,20,0,true,3
ses_00328,stu_0045,kimya,45,43,1,false,4
ses_00329,stu_0046,ingilizce,30,0,19,true,1
ses_00330,stu_0046,turkce,30,0,20,true,2
ses_00331,stu_0046,ingilizce,50,0,16,true,3
ses_00332,stu_0046,fizik,40,6,17,true,4
ses_00333,stu_0047,ingilizce,30,0,15,true,1
ses_00334,stu_0047,fizik,25,6,19,true,2
ses_00335,stu_0047,fizik,50,0,14,true,3
ses_00336,stu_0047,kimya,30,10,16,true,4
ses_00337,stu_0048,fen,25,11,17,true,1
ses_00338,stu_0048,fen,50,18,15,true,2
ses_00339,stu_0048,ingilizce,30,10,11,true,3
ses_00340,stu_0048,matematik,30,15,13,true,4
ses_00341,stu_0048,ingilizce,45,24,16,true,1
ses_00342,stu_0048,matematik,40,13,9,true,2
ses_00343,stu_0048,ingilizce,25,10,11,true,3
ses_00344,stu_0048,matematik,40,14,14,true,4
ses_00345,stu_0049,fizik,30,18,18,true,1
ses_00346,stu_0049,ingilizce,50,46,9,false,2
ses_00347,stu_0049,fizik,50,31,19,true,3
ses_00348,stu_0049,matematik,40,33,12,true,4
ses_00349,stu_0049,tarih,50,35,20,true,1
ses_00350,stu_0049,ingilizce,50,32,21,true,2
ses_00351,stu_0049,kimya,30,19,16,true,3
ses_00352,stu_0049,ingilizce,50,31,15,true,4
ses_00353,stu_0050,turkce,40,38,14,false,1
ses_00354,stu_0050,matematik,50,31,22,true,2
ses_00355,stu_0050,ingilizce,40,35,22,false,3
ses_00356,stu_0050,matematik,25,23,1,false,4
ses_00357,stu_0050,turkce,50,35,21,true,1
ses_00358,stu_0050,fen,30,28,0,false,2
ses_00359,stu_0050,turkce,50,40,0,true,3
ses_00360,stu_0050,kimya,30,27,1,false,4
ses_00361,stu_0051,ingilizce,50,33,1,true,1
ses_00362,stu_0051,matematik,40,30,1,true,2
ses_00363,stu_0051,fen,45,42,0,false,3
ses_00364,stu_0051,tarih,30,18,22,true,4
ses_00365,stu_0051,ingilizce,25,21,14,true,1
ses_00366,stu_0051,tarih,30,25,0,true,2
ses_00367,stu_0051,ingilizce,30,19,1,true,3
ses_00368,stu_0051,turkce,30,21,21,true,4
ses_00369,stu_0052,kimya,45,41,1,false,1
ses_00370,stu_0052,kimya,50,45,1,false,2
ses_00371,stu_0052,ingilizce,25,23,1,false,3
ses_00372,stu_0052,ingilizce,40,37,0,false,4
ses_00373,stu_0052,tarih,50,46,23,false,1
ses_00374,stu_0052,ingilizce,45,29,21,true,2
ses_00375,stu_0052,ingilizce,45,31,1,true,3
ses_00376,stu_0052,matematik,50,32,1,true,4
ses_00377,stu_0053,tarih,30,14,19,true,1
ses_00378,stu_0053,tarih,30,5,20,true,2
ses_00379,stu_0053,kimya,50,21,16,true,3
ses_00380,stu_0053,kimya,45,23,10,true,4
ses_00381,stu_0053,ingilizce,45,23,8,true,1
ses_00382,stu_0053,fen,50,8,19,true,2
ses_00383,stu_0053,turkce,50,13,21,true,3
ses_00384,stu_0053,ingilizce,30,11,19,true,4
ses_00385,stu_0054,ingilizce,50,31,9,true,1
ses_00386,stu_0054,kimya,40,38,16,false,2
ses_00387,stu_0054,fizik,45,37,15,true,3
ses_00388,stu_0054,kimya,45,24,15,true,4
ses_00389,stu_0054,turkce,30,27,18,false,1
ses_00390,stu_0054,kimya,30,21,12,true,2
ses_00391,stu_0054,fen,50,48,9,false,3
ses_00392,stu_0054,turkce,30,0,19,true,4
ses_00393,stu_0055,kimya,50,13,22,true,1
ses_00394,stu_0055,matematik,45,15,16,true,2
ses_00395,stu_0055,kimya,45,24,10,true,3
ses_00396,stu_0055,fizik,45,17,11,true,4
ses_00397,stu_0055,fen,50,12,10,true,1
ses_00398,stu_0055,fen,30,10,13,true,2
ses_00399,stu_0055,fen,45,11,13,true,3
ses_00400,stu_0055,kimya,40,18,9,true,4
ses_00401,stu_0056,fen,40,32,23,true,1
ses_00402,stu_0056,fen,50,33,14,true,2
ses_00403,stu_0056,turkce,40,29,23,true,3
ses_00404,stu_0056,tarih,45,38,21,true,4
ses_00405,stu_0056,kimya,40,30,22,true,1
ses_00406,stu_0056,turkce,40,34,23,false,2
ses_00407,stu_0056,tarih,45,41,23,false,3
ses_00408,stu_0056,ingilizce,45,30,0,true,4
ses_00409,stu_0057,tarih,30,0,19,true,1
ses_00410,stu_0057,fen,45,8,16,true,2
ses_00411,stu_0057,turkce,50,0,20,true,3
ses_00412,stu_0057,fizik,45,0,18,true,4
ses_00413,stu_0058,ingilizce,30,22,13,true,1
ses_00414,stu_0058,tarih,30,24,18,true,2
ses_00415,stu_0058,fizik,50,39,15,true,3
ses_00416,stu_0058,turkce,45,40,19,false,4
ses_00417,stu_0058,kimya,45,44,20,false,1
ses_00418,stu_0058,turkce,40,36,8,false,2
ses_00419,stu_0058,fizik,45,40,11,false,3
ses_00420,stu_0058,fizik,50,40,22,true,4
ses_00421,stu_0059,kimya,30,10,9,true,1
ses_00422,stu_0059,fizik,40,18,20,true,2
ses_00423,stu_0059,fizik,40,20,10,true,3
ses_00424,stu_0059,tarih,50,11,11,true,4
ses_00425,stu_0059,fen,50,25,21,true,1
ses_00426,stu_0059,kimya,50,14,12,true,2
ses_00427,stu_0059,tarih,30,15,19,true,3
ses_00428,stu_0059,fizik,50,23,9,true,4
ses_00429,stu_0060,fizik,40,6,17,true,1
ses_00430,stu_0060,matematik,30,12,22,true,2
ses_00431,stu_0060,tarih,25,7,20,true,3
ses_00432,stu_0060,kimya,25,11,13,true,4
ses_00433,stu_0060,matematik,50,9,11,true,1
ses_00434,stu_0060,fizik,50,20,11,true,2
ses_00435,stu_0060,tarih,25,11,19,true,3
ses_00436,stu_0060,fizik,45,22,18,true,4
ses_00437,stu_0061,ingilizce,50,32,21,true,1
ses_00438,stu_0061,matematik,40,38,14,false,2
ses_00439,stu_0061,ingilizce,25,15,22,true,3
ses_00440,stu_0061,turkce,40,36,22,false,4
ses_00441,stu_0061,fen,30,23,0,true,1
ses_00442,stu_0061,kimya,50,42,21,true,2
ses_00443,stu_0061,tarih,25,24,21,false,3
ses_00444,stu_0061,tarih,25,23,0,false,4
ses_00445,stu_0062,ingilizce,40,0,15,true,1
ses_00446,stu_0062,turkce,45,0,11,true,2
ses_00447,stu_0062,turkce,50,8,17,true,3
ses_00448,stu_0062,fizik,25,0,18,true,4
ses_00449,stu_0063,matematik,25,0,14,true,1
ses_00450,stu_0063,turkce,50,8,17,true,2
ses_00451,stu_0063,turkce,25,0,20,true,3
ses_00452,stu_0063,fen,25,0,11,true,4
ses_00453,stu_0064,ingilizce,25,15,22,true,1
ses_00454,stu_0064,turkce,40,34,8,false,2
ses_00455,stu_0064,matematik,40,38,18,false,3
ses_00456,stu_0064,matematik,40,0,16,true,4
ses_00457,stu_0064,tarih,50,47,16,false,1
ses_00458,stu_0064,fen,50,36,22,true,2
ses_00459,stu_0064,fizik,30,28,20,false,3
ses_00460,stu_0064,ingilizce,30,0,22,true,4
ses_00461,stu_0065,ingilizce,50,0,18,true,1
ses_00462,stu_0065,fen,45,0,10,true,2
ses_00463,stu_0065,fizik,30,7,14,true,3
ses_00464,stu_0065,kimya,40,3,9,true,4
ses_00465,stu_0066,ingilizce,50,0,15,true,1
ses_00466,stu_0066,fen,45,0,13,true,2
ses_00467,stu_0066,fizik,30,0,17,true,3
ses_00468,stu_0066,kimya,50,0,18,true,4
ses_00469,stu_0067,tarih,30,28,8,false,1
ses_00470,stu_0067,fen,30,19,18,true,2
ses_00471,stu_0067,tarih,45,36,21,true,3
ses_00472,stu_0067,matematik,50,35,11,true,4
ses_00473,stu_0067,matematik,25,21,10,true,1
ses_00474,stu_0067,fizik,50,41,19,true,2
ses_00475,stu_0067,kimya,45,42,9,false,3
ses_00476,stu_0067,turkce,25,16,17,true,4
ses_00477,stu_0068,fen,30,18,1,true,1
ses_00478,stu_0068,fen,50,36,1,true,2
ses_00479,stu_0068,fen,50,42,0,true,3
ses_00480,stu_0068,fizik,45,41,0,false,4
ses_00481,stu_0068,kimya,40,31,1,true,1
ses_00482,stu_0068,matematik,40,33,1,true,2
ses_00483,stu_0068,matematik,50,43,22,false,3
ses_00484,stu_0068,fen,30,21,21,true,4
ses_00485,stu_0069,matematik,50,0,16,true,1
ses_00486,stu_0069,turkce,45,8,14,true,2
ses_00487,stu_0069,kimya,30,0,17,true,3
ses_00488,stu_0069,matematik,25,0,13,true,4
ses_00489,stu_0070,fen,40,0,11,true,1
ses_00490,stu_0070,tarih,30,0,9,true,2
ses_00491,stu_0070,tarih,30,9,15,true,3
ses_00492,stu_0070,tarih,40,0,18,true,4
ses_00493,stu_0071,matematik,25,18,15,true,1
ses_00494,stu_0071,turkce,25,19,16,true,2
ses_00495,stu_0071,ingilizce,45,37,15,true,3
ses_00496,stu_0071,fen,50,38,11,true,4
ses_00497,stu_0071,tarih,50,31,13,true,1
ses_00498,stu_0071,fizik,25,15,18,true,2
ses_00499,stu_0071,fen,50,45,12,false,3
ses_00500,stu_0071,tarih,30,28,21,false,4
ses_00501,stu_0072,turkce,30,25,9,true,1
ses_00502,stu_0072,ingilizce,45,33,21,true,2
ses_00503,stu_0072,ingilizce,25,24,13,false,3
ses_00504,stu_0072,ingilizce,50,47,9,false,4
ses_00505,stu_0072,fen,25,24,17,false,1
ses_00506,stu_0072,ingilizce,40,30,19,true,2
ses_00507,stu_0072,ingilizce,25,21,12,true,3
ses_00508,stu_0072,fen,50,35,10,true,4
ses_00509,stu_0073,fen,40,18,8,true,1
ses_00510,stu_0073,tarih,50,12,19,true,2
ses_00511,stu_0073,kimya,25,6,14,true,3
ses_00512,stu_0073,fizik,25,12,8,true,4
ses_00513,stu_0073,tarih,40,11,17,true,1
ses_00514,stu_0073,tarih,30,13,20,true,2
ses_00515,stu_0073,turkce,50,7,13,true,3
ses_00516,stu_0073,matematik,45,13,18,true,4
ses_00517,stu_0074,fizik,40,28,14,true,1
ses_00518,stu_0074,fen,40,39,21,false,2
ses_00519,stu_0074,ingilizce,30,25,0,true,3
ses_00520,stu_0074,fizik,45,39,21,false,4
ses_00521,stu_0074,kimya,25,23,0,false,1
ses_00522,stu_0074,matematik,45,31,14,true,2
ses_00523,stu_0074,ingilizce,50,44,21,false,3
ses_00524,stu_0074,kimya,50,34,21,true,4
ses_00525,stu_0075,matematik,40,31,18,true,1
ses_00526,stu_0075,matematik,50,42,20,true,2
ses_00527,stu_0075,fizik,50,39,18,true,3
ses_00528,stu_0075,turkce,30,18,19,true,4
ses_00529,stu_0075,matematik,45,37,9,true,1
ses_00530,stu_0075,fizik,45,32,18,true,2
ses_00531,stu_0075,tarih,40,32,10,true,3
